Incident_ID,Reporting_Agency,Date_Reported,Time_Reported,Incident_Type,NDRRMC_Hazard_Classification,NDRRMC_Report_Type,Probable_Cause,Severity,Congressional_District,LGU_Type,City_Municipality,Barangay,Latitude,Longitude,Response_Time_Minutes,Units_Deployed,Casualties,Estimated_Damage_PHP,Status
DRRMO-20240101-4490,DRRMO,2024-01-01,13:12:44,Infrastructure Damage,Human-Induced Hazard,Incident Report,Bridge damage,High,Negros Occidental - 3rd District,City,Talisay City,Dos Hermanas,10.764983,122.950187,4,1,0,962387,Closed
DRRMO-20240106-0292,DRRMO,2024-01-06,09:06:33,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,Low,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.746223,122.964466,3,1,0,15662,Resolved
DRRMO-20240110-8902,DRRMO,2024-01-10,09:36:38,Landslide,Natural Hazard,Incident Report,Quarrying-related instability,Low,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.768919,122.953504,16,2,2,0,Ongoing
DRRMO-20240113-0102,DRRMO,2024-01-13,09:18:18,Infrastructure Damage,Natural Hazard,Incident Report,Bridge damage,Critical,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.70595,123.001122,16,1,3,778360,Resolved
DRRMO-20240115-0189,DRRMO,2024-01-15,19:45:54,Medical Emergency,Human-Induced Hazard,Incident Report,Snake bite,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.704112,122.993465,15,3,0,0,Resolved
BFP-20240119-2254,BFP,2024-01-19,11:19:11,Fire Incident,Human-Induced Hazard,Incident Report,Electrical ignition/faulty wiring,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.719047,122.996616,26,1,0,758808,Ongoing
BFP-20240122-7169,BFP,2024-01-22,22:24:22,Fire Incident,Human-Induced Hazard,Incident Report,Unattended cooking / open flame,Low,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.701452,123.009866,28,3,0,404677,False Alarm
BFP-20240124-0051,BFP,2024-01-24,11:27:04,Fire Incident,Human-Induced Hazard,Incident Report,Electrical short circuit,High,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.739243,122.970377,4,2,0,186526,Resolved
DRRMO-20240130-0829,DRRMO,2024-01-30,05:12:56,Infrastructure Damage,Natural Hazard,Incident Report,Fallen electric post/tree,Low,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.707062,122.925763,28,1,0,1197592,Resolved
DRRMO-20240131-0103,DRRMO,2024-01-31,18:35:07,Infrastructure Damage,Human-Induced Hazard,Incident Report,Building crack/structural risk,Low,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.699559,122.94713,11,2,0,29716,Resolved
